"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2024","16,395.0","16,287.5","16,417.5","16,282.5","","0.80%"
"06/13/2024","16,265.0","16,270.0","16,292.5","16,262.5","","-0.15%"
"06/12/2024","16,290.0","16,297.5","16,305.5","16,287.5","","0.03%"
"06/11/2024","16,285.0","16,285.0","16,302.5","16,278.0","","0.06%"
"06/10/2024","16,275.0","16,265.0","16,295.5","16,247.5","","0.53%"
"06/07/2024","16,190.0","16,240.0","16,245.0","16,190.0","","-0.40%"
"06/06/2024","16,255.0","16,285.0","16,287.5","16,257.5","","-0.15%"
"06/05/2024","16,280.0","16,255.0","16,293.5","16,247.5","","0.40%"
"06/04/2024","16,215.0","16,195.0","16,240.0","16,190.0","","-0.06%"
"06/03/2024","16,225.0","16,255.0","16,265.0","16,205.0","","-0.12%"
"05/31/2024","16,245.0","16,265.0","16,267.5","16,237.5","","-0.06%"
"05/30/2024","16,255.0","16,222.5","16,275.0","16,222.5","","0.62%"
"05/29/2024","16,155.0","16,130.0","16,167.5","16,117.5","","0.44%"
"05/28/2024","16,085.0","16,070.0","16,101.5","16,070.0","","0.16%"
"05/27/2024","16,060.0","16,030.0","16,072.5","16,015.0","","0.09%"
"05/24/2024","16,045.0","16,102.3","16,121.0","16,026.0","","-0.36%"
"05/23/2024","16,102.3","16,048.0","16,102.3","16,018.3","","0.70%"
"05/22/2024","15,990.0","15,990.0","16,010.0","15,967.5","","0.00%"
"05/21/2024","15,990.0","16,040.0","16,042.5","15,994.5","","0.13%"
"05/20/2024","15,970.0","15,960.0","15,987.5","15,960.0","","0.13%"
"05/17/2024","15,950.0","15,960.0","15,988.5","15,945.0","","0.19%"
"05/16/2024","15,920.0","15,922.5","15,960.0","15,912.5","","-0.66%"
"05/15/2024","16,025.0","16,080.0","16,095.0","16,026.5","","-0.40%"
"05/14/2024","16,090.0","16,130.0","16,141.5","16,100.0","","0.09%"
"05/13/2024","16,075.0","16,070.0","16,096.5","16,067.5","","0.10%"
"05/10/2024","16,058.9","16,036.5","16,080.0","16,009.7","","0.21%"
"05/09/2024","16,026.0","16,080.5","16,083.3","16,014.8","","-0.09%"
"05/08/2024","16,040.0","16,090.0","16,095.0","16,045.0","","0.00%"
"05/07/2024","16,040.0","16,065.0","16,070.5","16,044.5","","0.12%"
"05/06/2024","16,020.0","15,985.0","16,032.5","15,980.0","","-0.37%"
"05/03/2024","16,080.0","16,075.0","16,107.5","16,072.5","","-0.62%"
"05/02/2024","16,180.0","16,250.0","16,250.0","16,185.0","","-0.08%"
"05/01/2024","16,193.6","16,279.0","16,280.5","16,167.3","","-0.38%"
"04/30/2024","16,255.0","16,265.0","16,282.5","16,259.5","","0.03%"
"04/29/2024","16,250.0","16,237.5","16,265.0","16,229.5","","0.28%"
"04/26/2024","16,205.0","16,200.0","16,229.5","16,197.5","","0.12%"
"04/25/2024","16,185.0","16,205.0","16,223.5","16,179.0","","0.22%"
"04/24/2024","16,150.0","16,150.0","16,180.0","16,145.0","","-0.40%"
"04/23/2024","16,215.0","16,245.0","16,252.5","16,220.0","","-0.09%"
"04/22/2024","16,230.0","16,217.5","16,245.0","16,207.5","","-0.12%"
"04/19/2024","16,250.0","16,265.0","16,290.0","16,255.0","","0.49%"
"04/18/2024","16,170.0","16,185.0","16,195.0","16,155.0","","-0.28%"
"04/17/2024","16,215.0","16,235.0","16,272.5","16,210.0","","0.28%"
"04/16/2024","16,170.0","16,075.0","16,210.0","16,072.5","","0.33%"
"04/15/2024","16,116.7","16,118.0","16,138.0","16,050.8","","0.00%"
"04/12/2024","16,117.0","16,030.5","16,161.3","15,996.0","","0.54%"
"04/11/2024","16,031.0","16,002.0","16,036.5","15,950.5","","0.21%"
"04/10/2024","15,998.0","15,900.0","16,002.0","15,826.0","","0.62%"
"04/09/2024","15,899.0","15,925.0","15,925.0","15,833.0","","-0.16%"
"04/08/2024","15,925.0","15,888.0","15,928.0","15,867.0","","0.54%"
"04/05/2024","15,840.0","15,907.5","15,916.0","15,842.5","","-0.31%"
"04/04/2024","15,890.0","15,937.5","15,937.5","15,890.0","","-0.16%"
"04/03/2024","15,915.0","15,930.0","15,940.0","15,905.0","","0.13%"
"04/02/2024","15,895.0","15,947.5","15,965.0","15,897.0","","0.06%"
"04/01/2024","15,885.0","15,875.0","15,920.0","15,872.5","","0.03%"
"03/29/2024","15,880.0","15,891.0","15,909.3","15,858.5","","0.19%"
"03/28/2024","15,850.0","15,880.0","15,894.0","15,855.0","","0.00%"
"03/27/2024","15,850.0","15,830.0","15,865.0","15,818.5","","0.41%"
"03/26/2024","15,785.0","15,800.0","15,810.0","15,780.0","","-0.06%"
"03/25/2024","15,795.0","15,785.0","15,808.5","15,775.0","","0.13%"
"03/22/2024","15,775.0","15,730.0","15,790.0","15,722.5","","0.77%"
"03/21/2024","15,655.0","15,665.0","15,680.0","15,647.0","","-0.35%"
"03/20/2024","15,710.0","15,722.5","15,742.5","15,708.5","","0.00%"
"03/19/2024","15,710.0","15,720.0","15,735.0","15,697.5","","0.16%"
"03/18/2024","15,685.0","15,625.0","15,698.0","15,622.5","","0.61%"
"03/15/2024","15,590.0","15,630.0","15,641.5","15,594.5","","0.10%"
"03/14/2024","15,575.0","15,580.0","15,589.5","15,569.5","","0.03%"
"03/13/2024","15,570.0","15,570.0","15,595.0","15,557.5","","0.06%"
"03/12/2024","15,561.0","15,526.5","15,563.0","15,470.9","","0.23%"
"03/11/2024","15,525.0","15,541.3","15,590.0","15,438.5","","-0.38%"
